Rank,Name,Symbol,Price,24h Change,Market Cap,Logo URL
1,Bitcoin,BTC,"$106,002.95",12.99%,"$2,113,267,279,951",https://s2.coinmarketcap.com/static/img/coins/64x64/1.png
2,Ethereum,ETH,"$3,799.60",12.77%,"$458,717,801,663",https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png
3,Tether,USDT,$1.00,0.01%,"$181,586,299,457",https://s2.coinmarketcap.com/static/img/coins/64x64/825.png
4,BNB,BNB,"$1,074.53",14.18%,"$149,554,705,050",https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png
5,XRP,XRP,$2.28,19.10%,"$137,013,698,825",https://s2.coinmarketcap.com/static/img/coins/64x64/52.png
6,Solana,SOL,$181.62,18.52%,"$99,320,875,280",https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png
7,USDC,USDC,$0.9998,0.01%,"$75,966,273,671",https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png
8,TRON,TRX,$0.3085,8.02%,"$29,211,869,219",https://s2.coinmarketcap.com/static/img/coins/64x64/1958.png
9,Dogecoin,DOGE,$0.1843,26.66%,"$27,901,553,337",https://s2.coinmarketcap.com/static/img/coins/64x64/74.png
10,Cardano,ADA,$0.6248,23.51%,"$22,394,900,992",https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png
